Epoch 37/1000, Train Loss: 0.1055, Train Accuracy: 0.8503, Train F1: 0.8398, Validation Loss: 0.0907, Validation Accuracy: 0.8745, Validation F1: 0.8676
Epoch 38/1000, Train Loss: 0.1047, Train Accuracy: 0.8529, Train F1: 0.8428, Validation Loss: 0.0904, Validation Accuracy: 0.8773, Validation F1: 0.8706
Epoch 39/1000, Train Loss: 0.1033, Train Accuracy: 0.8549, Train F1: 0.8446, Validation Loss: 0.0905, Validation Accuracy: 0.8771, Validation F1: 0.8705
Epoch 40/1000, Train Loss: 0.1052, Train Accuracy: 0.8536, Train F1: 0.8434, Validation Loss: 0.0899, Validation Accuracy: 0.8769, Validation F1: 0.8699
Epoch 41/1000, Train Loss: 0.1041, Train Accuracy: 0.8559, Train F1: 0.8462, Validation Loss: 0.0899, Validation Accuracy: 0.8766, Validation F1: 0.8700
Epoch 42/1000, Train Loss: 0.1018, Train Accuracy: 0.8555, Train F1: 0.8456, Validation Loss: 0.0895, Validation Accuracy: 0.8778, Validation F1: 0.8710
Epoch 43/1000, Train Loss: 0.1026, Train Accuracy: 0.8546, Train F1: 0.8448, Validation Loss: 0.0892, Validation Accuracy: 0.8785, Validation F1: 0.8726
Epoch 44/1000, Train Loss: 0.1038, Train Accuracy: 0.8525, Train F1: 0.8425, Validation Loss: 0.0891, Validation Accuracy: 0.8773, Validation F1: 0.8708
Epoch 45/1000, Train Loss: 0.1017, Train Accuracy: 0.8551, Train F1: 0.8451, Validation Loss: 0.0890, Validation Accuracy: 0.8790, Validation F1: 0.8730
Epoch 46/1000, Train Loss: 0.1017, Train Accuracy: 0.8572, Train F1: 0.8478, Validation Loss: 0.0886, Validation Accuracy: 0.8804, Validation F1: 0.8743
Epoch 47/1000, Train Loss: 0.1005, Train Accuracy: 0.8577, Train F1: 0.8480, Validation Loss: 0.0885, Validation Accuracy: 0.8778, Validation F1: 0.8717
Epoch 48/1000, Train Loss: 0.1013, Train Accuracy: 0.8562, Train F1: 0.8469, Validation Loss: 0.0883, Validation Accuracy: 0.8787, Validation F1: 0.8730
Epoch 49/1000, Train Loss: 0.1019, Train Accuracy: 0.8573, Train F1: 0.8475, Validation Loss: 0.0882, Validation Accuracy: 0.8797, Validation F1: 0.8734
Epoch 50/1000, Train Loss: 0.0996, Train Accuracy: 0.8590, Train F1: 0.8496, Validation Loss: 0.0879, Validation Accuracy: 0.8795, Validation F1: 0.8734
Epoch 51/1000, Train Loss: 0.1004, Train Accuracy: 0.8607, Train F1: 0.8516, Validation Loss: 0.0876, Validation Accuracy: 0.8797, Validation F1: 0.8733
Epoch 52/1000, Train Loss: 0.1016, Train Accuracy: 0.8555, Train F1: 0.8461, Validation Loss: 0.0875, Validation Accuracy: 0.8787, Validation F1: 0.8722
Epoch 53/1000, Train Loss: 0.1004, Train Accuracy: 0.8583, Train F1: 0.8489, Validation Loss: 0.0869, Validation Accuracy: 0.8813, Validation F1: 0.8754
Epoch 54/1000, Train Loss: 0.0999, Train Accuracy: 0.8602, Train F1: 0.8507, Validation Loss: 0.0868, Validation Accuracy: 0.8806, Validation F1: 0.8752
Epoch 55/1000, Train Loss: 0.0995, Train Accuracy: 0.8612, Train F1: 0.8521, Validation Loss: 0.0865, Validation Accuracy: 0.8806, Validation F1: 0.8748
Epoch 56/1000, Train Loss: 0.0988, Train Accuracy: 0.8615, Train F1: 0.8526, Validation Loss: 0.0868, Validation Accuracy: 0.8832, Validation F1: 0.8775
Epoch 57/1000, Train Loss: 0.0986, Train Accuracy: 0.8610, Train F1: 0.8522, Validation Loss: 0.0866, Validation Accuracy: 0.8818, Validation F1: 0.8763
Epoch 58/1000, Train Loss: 0.0993, Train Accuracy: 0.8601, Train F1: 0.8513, Validation Loss: 0.0863, Validation Accuracy: 0.8820, Validation F1: 0.8760
Epoch 59/1000, Train Loss: 0.0981, Train Accuracy: 0.8606, Train F1: 0.8519, Validation Loss: 0.0858, Validation Accuracy: 0.8837, Validation F1: 0.8775
Epoch 60/1000, Train Loss: 0.0994, Train Accuracy: 0.8592, Train F1: 0.8501, Validation Loss: 0.0856, Validation Accuracy: 0.8830, Validation F1: 0.8770
Epoch 61/1000, Train Loss: 0.0986, Train Accuracy: 0.8615, Train F1: 0.8526, Validation Loss: 0.0856, Validation Accuracy: 0.8823, Validation F1: 0.8766
Epoch 62/1000, Train Loss: 0.0996, Train Accuracy: 0.8603, Train F1: 0.8511, Validation Loss: 0.0856, Validation Accuracy: 0.8825, Validation F1: 0.8768
Epoch 63/1000, Train Loss: 0.0983, Train Accuracy: 0.8612, Train F1: 0.8522, Validation Loss: 0.0856, Validation Accuracy: 0.8830, Validation F1: 0.8775
Epoch 64/1000, Train Loss: 0.0966, Train Accuracy: 0.8618, Train F1: 0.8535, Validation Loss: 0.0851, Validation Accuracy: 0.8828, Validation F1: 0.8774
Epoch 65/1000, Train Loss: 0.0967, Train Accuracy: 0.8621, Train F1: 0.8536, Validation Loss: 0.0850, Validation Accuracy: 0.8846, Validation F1: 0.8793
Epoch 66/1000, Train Loss: 0.0964, Train Accuracy: 0.8651, Train F1: 0.8567, Validation Loss: 0.0848, Validation Accuracy: 0.8835, Validation F1: 0.8780
Epoch 67/1000, Train Loss: 0.0967, Train Accuracy: 0.8628, Train F1: 0.8540, Validation Loss: 0.0851, Validation Accuracy: 0.8832, Validation F1: 0.8779
Epoch 68/1000, Train Loss: 0.0971, Train Accuracy: 0.8646, Train F1: 0.8558, Validation Loss: 0.0847, Validation Accuracy: 0.8837, Validation F1: 0.8783
Epoch 69/1000, Train Loss: 0.0976, Train Accuracy: 0.8636, Train F1: 0.8548, Validation Loss: 0.0845, Validation Accuracy: 0.8844, Validation F1: 0.8792
Epoch 70/1000, Train Loss: 0.0970, Train Accuracy: 0.8636, Train F1: 0.8548, Validation Loss: 0.0842, Validation Accuracy: 0.8849, Validation F1: 0.8798
Epoch 71/1000, Train Loss: 0.0974, Train Accuracy: 0.8623, Train F1: 0.8539, Validation Loss: 0.0840, Validation Accuracy: 0.8865, Validation F1: 0.8813
Epoch 72/1000, Train Loss: 0.0954, Train Accuracy: 0.8652, Train F1: 0.8566, Validation Loss: 0.0843, Validation Accuracy: 0.8842, Validation F1: 0.8795
