Epoch 38/100, Train Loss: 0.3771, Train Accuracy: 0.8668, Train F1: 0.8590, Validation Loss: 0.4401, Validation Accuracy: 0.8378, Validation F1: 0.8326
Epoch 39/100, Train Loss: 0.3767, Train Accuracy: 0.8672, Train F1: 0.8595, Validation Loss: 0.4284, Validation Accuracy: 0.8473, Validation F1: 0.8369
Epoch 40/100, Train Loss: 0.3734, Train Accuracy: 0.8674, Train F1: 0.8599, Validation Loss: 0.4298, Validation Accuracy: 0.8458, Validation F1: 0.8397
Epoch 41/100, Train Loss: 0.3732, Train Accuracy: 0.8692, Train F1: 0.8616, Validation Loss: 0.4363, Validation Accuracy: 0.8411, Validation F1: 0.8357
Epoch 42/100, Train Loss: 0.3733, Train Accuracy: 0.8682, Train F1: 0.8606, Validation Loss: 0.4352, Validation Accuracy: 0.8380, Validation F1: 0.8321
Epoch 43/100, Train Loss: 0.3709, Train Accuracy: 0.8690, Train F1: 0.8615, Validation Loss: 0.4318, Validation Accuracy: 0.8472, Validation F1: 0.8387
Epoch 44/100, Train Loss: 0.3681, Train Accuracy: 0.8699, Train F1: 0.8626, Validation Loss: 0.4344, Validation Accuracy: 0.8404, Validation F1: 0.8343
Epoch 45/100, Train Loss: 0.3676, Train Accuracy: 0.8714, Train F1: 0.8643, Validation Loss: 0.4259, Validation Accuracy: 0.8429, Validation F1: 0.8354
Epoch 46/100, Train Loss: 0.3688, Train Accuracy: 0.8694, Train F1: 0.8621, Validation Loss: 0.4337, Validation Accuracy: 0.8398, Validation F1: 0.8355
Epoch 47/100, Train Loss: 0.3681, Train Accuracy: 0.8705, Train F1: 0.8633, Validation Loss: 0.4256, Validation Accuracy: 0.8445, Validation F1: 0.8376
Epoch 48/100, Train Loss: 0.3685, Train Accuracy: 0.8703, Train F1: 0.8630, Validation Loss: 0.4284, Validation Accuracy: 0.8460, Validation F1: 0.8377
Epoch 49/100, Train Loss: 0.3638, Train Accuracy: 0.8715, Train F1: 0.8644, Validation Loss: 0.4263, Validation Accuracy: 0.8466, Validation F1: 0.8377
Epoch 50/100, Train Loss: 0.3640, Train Accuracy: 0.8708, Train F1: 0.8636, Validation Loss: 0.4343, Validation Accuracy: 0.8423, Validation F1: 0.8372
Epoch 51/100, Train Loss: 0.3631, Train Accuracy: 0.8722, Train F1: 0.8652, Validation Loss: 0.4256, Validation Accuracy: 0.8457, Validation F1: 0.8411
Epoch 52/100, Train Loss: 0.3627, Train Accuracy: 0.8723, Train F1: 0.8654, Validation Loss: 0.4226, Validation Accuracy: 0.8500, Validation F1: 0.8421
Epoch 53/100, Train Loss: 0.3614, Train Accuracy: 0.8733, Train F1: 0.8665, Validation Loss: 0.4258, Validation Accuracy: 0.8457, Validation F1: 0.8368
Epoch 54/100, Train Loss: 0.3623, Train Accuracy: 0.8732, Train F1: 0.8663, Validation Loss: 0.4348, Validation Accuracy: 0.8401, Validation F1: 0.8359
Epoch 55/100, Train Loss: 0.3601, Train Accuracy: 0.8727, Train F1: 0.8657, Validation Loss: 0.4287, Validation Accuracy: 0.8423, Validation F1: 0.8380
Epoch 56/100, Train Loss: 0.3587, Train Accuracy: 0.8731, Train F1: 0.8664, Validation Loss: 0.4269, Validation Accuracy: 0.8433, Validation F1: 0.8381
Epoch 57/100, Train Loss: 0.3597, Train Accuracy: 0.8727, Train F1: 0.8659, Validation Loss: 0.4263, Validation Accuracy: 0.8497, Validation F1: 0.8398
Epoch 58/100, Train Loss: 0.3570, Train Accuracy: 0.8751, Train F1: 0.8684, Validation Loss: 0.4263, Validation Accuracy: 0.8469, Validation F1: 0.8406
Epoch 59/100, Train Loss: 0.3583, Train Accuracy: 0.8726, Train F1: 0.8658, Validation Loss: 0.4251, Validation Accuracy: 0.8459, Validation F1: 0.8397
Epoch 60/100, Train Loss: 0.3578, Train Accuracy: 0.8740, Train F1: 0.8673, Validation Loss: 0.4359, Validation Accuracy: 0.8368, Validation F1: 0.8333
Epoch 61/100, Train Loss: 0.3542, Train Accuracy: 0.8753, Train F1: 0.8686, Validation Loss: 0.4393, Validation Accuracy: 0.8344, Validation F1: 0.8311
Epoch 62/100, Train Loss: 0.3537, Train Accuracy: 0.8741, Train F1: 0.8674, Validation Loss: 0.4567, Validation Accuracy: 0.8321, Validation F1: 0.8318
Epoch 63/100, Train Loss: 0.3555, Train Accuracy: 0.8753, Train F1: 0.8686, Validation Loss: 0.4252, Validation Accuracy: 0.8452, Validation F1: 0.8404
Epoch 64/100, Train Loss: 0.3528, Train Accuracy: 0.8750, Train F1: 0.8686, Validation Loss: 0.4227, Validation Accuracy: 0.8480, Validation F1: 0.8404
Epoch 65/100, Train Loss: 0.3528, Train Accuracy: 0.8749, Train F1: 0.8683, Validation Loss: 0.4478, Validation Accuracy: 0.8361, Validation F1: 0.8338
Epoch 66/100, Train Loss: 0.3496, Train Accuracy: 0.8762, Train F1: 0.8698, Validation Loss: 0.4226, Validation Accuracy: 0.8485, Validation F1: 0.8425
Epoch 67/100, Train Loss: 0.3496, Train Accuracy: 0.8765, Train F1: 0.8702, Validation Loss: 0.4269, Validation Accuracy: 0.8447, Validation F1: 0.8397
Epoch 68/100, Train Loss: 0.3487, Train Accuracy: 0.8756, Train F1: 0.8692, Validation Loss: 0.4579, Validation Accuracy: 0.8286, Validation F1: 0.8290
Epoch 69/100, Train Loss: 0.3484, Train Accuracy: 0.8762, Train F1: 0.8698, Validation Loss: 0.4493, Validation Accuracy: 0.8318, Validation F1: 0.8308
Epoch 70/100, Train Loss: 0.3488, Train Accuracy: 0.8770, Train F1: 0.8708, Validation Loss: 0.4206, Validation Accuracy: 0.8494, Validation F1: 0.8436
Epoch 71/100, Train Loss: 0.3473, Train Accuracy: 0.8773, Train F1: 0.8711, Validation Loss: 0.4340, Validation Accuracy: 0.8394, Validation F1: 0.8352
Epoch 72/100, Train Loss: 0.3455, Train Accuracy: 0.8785, Train F1: 0.8726, Validation Loss: 0.4290, Validation Accuracy: 0.8441, Validation F1: 0.8381
Epoch 73/100, Train Loss: 0.3477, Train Accuracy: 0.8774, Train F1: 0.8711, Validation Loss: 0.4384, Validation Accuracy: 0.8397, Validation F1: 0.8375
Epoch 74/100, Train Loss: 0.3444, Train Accuracy: 0.8788, Train F1: 0.8727, Validation Loss: 0.4277, Validation Accuracy: 0.8512, Validation F1: 0.8428
Epoch 75/100, Train Loss: 0.3456, Train Accuracy: 0.8773, Train F1: 0.8711, Validation Loss: 0.4236, Validation Accuracy: 0.8471, Validation F1: 0.8426
Epoch 76/100, Train Loss: 0.3436, Train Accuracy: 0.8779, Train F1: 0.8718, Validation Loss: 0.4226, Validation Accuracy: 0.8490, Validation F1: 0.8435
