OID_,Id,Shape_Length,Shape_Area,sum_Total_True_ton,sum_Total_Pred_ton,Point_Count,Error
1,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2,0,800.000000000000000,40000.000000000000000,0.000000000000000,-7.839573614878580,1,
3,0,800.000000000000000,40000.000000000000000,1342.274921745399070,1017.362763262312114,8,24.206081274363246
4,0,800.000000000000000,40000.000000000000000,1763.911037732904106,2015.028478278830789,14,14.236400542551145
5,0,800.000000000000000,40000.000000000000000,0.000000000000000,49.580358717002397,1,
6,0,800.000000000000000,40000.000000000000000,636.086926312920014,529.996567673578966,3,16.678594426440135
7,0,800.000000000000000,40000.000000000000000,591.061741545527980,663.585794159579905,4,12.270131445898294
8,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
9,0,800.000000000000000,40000.000000000000000,1319.960015704440139,1492.683717196487578,12,13.085525276299204
10,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
11,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
12,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
13,0,800.000000000000000,40000.000000000000000,0.000000000000000,23.438267369713401,1,
14,0,800.000000000000000,40000.000000000000000,633.527974679705949,781.605158340100388,6,23.373424628211268
15,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
16,0,800.000000000000000,40000.000000000000000,2624.416076276712829,2703.359026901423476,16,3.008019625329679
17,0,538.627426825203656,11649.784099174989024,0.000000000000000,0.000000000000000,0,
18,0,385.389943193677652,740.812937326636529,0.000000000000000,0.000000000000000,0,
19,0,800.000000000000000,40000.000000000000000,2248.275359934357766,1873.899499875405809,17,16.651690746185221
20,0,800.000000000000000,40000.000000000000000,1050.552247414643944,1239.925618437443973,8,18.026078330595961
21,0,800.000000000000000,40000.000000000000000,480.834992044224009,568.311379372299029,4,18.192600117594921
22,0,800.000000000000000,40000.000000000000000,864.119931806620116,1029.230116278989726,9,19.107322767937184
23,0,800.000000000000000,40000.000000000000000,719.553424490207931,825.622332910150362,7,14.740935809608654
24,0,800.000000000000000,40000.000000000000000,1260.598982013468003,1206.190799577266944,10,4.316057938528446
25,0,800.000000000000000,40000.000000000000000,0.000000000000000,18.526431880366701,1,
26,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
27,0,800.000000000000000,40000.000000000000000,1569.965903451054146,1436.160691465175205,11,8.522810061782371
28,0,800.000000000000000,40000.000000000000000,1372.524795090899943,1596.695869388003302,10,16.332752245999089
29,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
30,0,442.021758420989386,4201.144531408912371,0.000000000000000,59.155885435251101,1,
31,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
32,0,800.000000000000000,40000.000000000000000,397.000215040770001,467.120480796593824,4,17.662525887705833
33,0,800.000000000000000,40000.000000000000000,352.439856684233973,279.310763681223762,3,20.749382232478240
34,0,800.000000000000000,40000.000000000000000,1022.114532462000057,822.592776227955028,9,19.520489132803011
35,0,800.000000000000000,40000.000000000000000,330.361674083388039,386.053809199876980,2,16.857928593263953
36,0,781.804050916006759,38177.777769837419328,109.801983607272007,186.285339003900731,2,69.655713753028550
37,0,800.000000000000000,40000.000000000000000,861.531424570404056,1126.151130213461101,9,30.715038139787833
38,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
39,0,800.000000000000000,40000.000000000000000,913.990012483355940,1186.480492632857022,9,29.813288594820747
40,0,800.000000000000000,40000.000000000000000,82.404583442207993,274.779892418411407,2,233.452195181740279
