"Category","FA","Concrete","Cement","Wood","Brick","Gypsum","Aggregates","Asphalt","Steel","Total"
"True",1.54433019221699,736.645501687507,66.2980951518758,160.15167392348,210.414988689567,154.819101769755,490.324836028894,12.8689034917442,0,1765.22500559095
"Pred",1.51924290689116,724.678866587083,65.2210979928374,157.550047173334,206.996846063922,152.30410141584,482.359622937943,12.659851143124,0,1736.54933532124
"Error",1.62447677655117,1.62447677655139,1.6244767765517,1.62447677655194,1.62447677655099,1.62447677655142,1.62447677655103,1.62447677655128,NA,1.62447677655202
